id,age,educ,union,laborinc,hours,tenure,mnjob,year,black,prof,manager,Sales,clerk,craft,operator,trans,service
48,36,14,0,13855,2680,.89999998,755,1983,1,0,0,0,0,0,0,0,0
48,37,14,0,14437,2072,0,245,1984,1,0,1,0,0,0,0,0,0
48,38,14,0,13011,1924,2,755,1985,1,0,0,0,0,0,0,0,0
48,39,14,0,17546,2717,0,714,1986,1,0,0,0,0,0,0,1,0
48,40,14,0,7062,2844,0,714,1987,1,0,0,0,0,0,0,1,0
86,36,14,1,22088,2300,4,695,1983,0,0,0,0,0,0,1,0,0
86,36,14,1,25987,2232,5,436,1984,0,0,0,0,0,1,0,0,0
86,38,14,1,28810,2384,7,436,1985,0,0,0,0,0,1,0,0,0
86,39,14,1,29197,2300,8,436,1986,0,0,0,0,0,1,0,0,0
86,39,14,1,30810,2430,8,436,1987,0,0,0,0,0,1,0,0,0
95,36,15,0,53213,3120,9,552,1983,0,0,0,0,0,1,0,0,0
95,36,15,0,37536,2380,10,552,1984,0,0,0,0,0,1,0,0,0
95,38,15,0,36245,2880,12,552,1985,0,0,0,0,0,1,0,0,0
95,38,15,0,41058,2880,12.5,245,1986,0,0,1,0,0,0,0,0,0
95,40,15,0,39613,2400,13.5,245,1987,0,0,1,0,0,0,0,0,0
162,21,10,0,13052,2998,.89999998,245,1983,0,0,1,0,0,0,0,0,0
162,23,10,0,21174,3200,.1,230,1984,0,0,1,0,0,0,0,0,0
162,23,10,0,16729,2550,.1,402,1985,0,0,0,0,0,1,0,0,0
162,24,10,0,16423,2064,.80000001,402,1986,0,0,0,0,0,1,0,0,0
162,25,10,0,11444,2003,2,402,1987,0,0,0,0,0,1,0,0,0
181,50,12,1,41165,2070,30,433,1983,0,0,0,0,0,1,0,0,0
181,51,12,1,43311,2270,31,433,1984,0,0,0,0,0,1,0,0,0
181,52,12,1,48327,2250,32,433,1985,0,0,0,0,0,1,0,0,0
181,53,12,1,47445,2070,32.599998,433,1986,0,0,0,0,0,1,0,0,0
181,54,12,1,44014,2040,34,554,1987,0,0,0,0,0,1,0,0,0
183,45,14,0,20090,3140,2,56,1983,0,1,0,0,0,0,0,0,0
183,46,14,0,33217,3084,2.5,245,1984,0,0,1,0,0,0,0,0,0
